Iniciativa;Dia/Semana;Data Inicial;Data Final;Principal usuario;Mencao inicial;Assunto;Impacto;Titulos;Posts;Usuarios;Alcance Potencial;RTs;Posts/Dia;Sent. Positivo;Sent. Negativo;Sent. Neutro;Duracao;Atualizacoes
Gauge;Terça;2019-06-04;2019-06-05;NA;NA;Institucional;Baixo;ALERTA 07410/19 : (Baixo) Idec notifica Itaú por tecnologia de reconhecimento facial;15;14;279962;3;8;NA;NA;NA;2;0
Gauge;Sexta;2019-06-07;2019-06-09;Pato Corporation;https://twitter.com/PatoCorporation/status/1137021727710601218;Relações Políticas;Moderado;ALERTA 08411/19 : (Moderado) Pato Corporation realiza nova crítica a Paulo Guedes e menciona Itaú;275;274;282684;274;92;NA;NA;NA;3;3
Gauge;Sexta;2019-06-07;2019-06-08;NA;NA;Fraude;Baixo;ALERTA 01412/19 : (Baixo) Influenciadora alega clonagem do cartão de crédito;42;38;321862;8;21;NA;NA;NA;2;0
Gauge;Segunda;2019-06-10;2019-06-19;NA;NA;Fraude;Baixo;ALERTA 01413/19 (Baixo): Clientes alegam tentativas de golpes digitais;22;20;20021;11;2;NA;NA;NA;10;1
Gauge;Quinta;2019-06-13;2019-06-14;NA;NA;Mobilidade;Baixo;ALERTA 09414/19: (Baixo) ALERJ aprova nova lei para os patinetes RJ;32;27;86142;17;16;NA;NA;NA;2;1
Gauge;Sexta;2019-06-14;2019-06-14;NA;NA;Relações Políticas;Moderado;ALERTA 08415/19: (Moderado) Repercussão sobre a greve geral;139;111;1378416;64;139;NA;NA;NA;1;2
Gauge;Sexta;2019-06-14;2019-06-14;George Marques;https://twitter.com/GeorgMarques/status/1139515062769635329;Institucional;Moderado;ALERTA 07416/19: (Moderado) Influenciador realiza crítica à lucro dos bancos;76;76;262544;75;76;NA;NA;NA;1;0
Gauge;Sexta;2019-06-14;2019-06-22;NA;NA;Agência;Moderado;ALERTA 11417/19: (Moderado) Cliente Trans reclama de problemas com o cartão Itaú;150;115;81300;122;17;NA;NA;NA;9;4
Gauge;Sexta;2019-06-14;2019-06-16;NA;NA;Relações Políticas;Baixo;ALERTA 08418/19: (Baixo) Partido Novo e a possível tentativa de evitar taxação dos bancos;77;72;142062;23;26;NA;NA;NA;3;1
Gauge;Domingo;2019-06-16;2019-06-17;NA;NA;Relações Políticas;Baixo;ALERTA 08419/19: (Baixo) Possíveis movimentações bancárias de Flávio Bolsonaro;48;48;78658;46;24;NA;NA;NA;2;1
Gauge;Segunda;2019-06-17;2019-06-21;NA;NA;Institucional;Alto;ALERTA 07420/19: (ALTO) Bancos são denunciados pelo Ministério Público do Trabalho NA SP;420;394;833159;414;84;NA;NA;NA;5;6
Gauge;Segunda;2019-06-17;2019-06-18;Café com Ferri;https://twitter.com/cafecomferri/status/1140669871304400896;Institucional;Baixo;ALERTA 07421/19: (Baixo) Influenciador supõe que funcionários cometeram crime;27;26;52915;22;14;NA;NA;NA;2;1
Gauge;Segunda;2019-06-17;2019-06-17;Macunaimaz;https://twitter.com/macunaimaz/status/1140758458356178944;Relações Políticas;Baixo;ALERTA 08422/19: (Baixo) Suposta doação à campanha de Molon em 2014;42;41;131355;41;42;NA;NA;NA;1;0
Gauge;Terça;2019-06-18;2019-06-20;NA;NA;Relações Políticas;Moderado;ALERTA 08423/19: (Moderado) Recuperação judicial Odebrecht e supostos credores;72;69;274067;54;24;NA;NA;NA;3;1
Gauge;Terça;2019-06-18;2019-06-20;Camarada Makavelli;https://twitter.com/_makavelijones/status/1141098105133305856;Institucional;Moderado;ALERTA 07424/19: (Moderado) Famílias citadas como dominantes;313;309;150919;313;104;NA;NA;NA;3;3
Gauge;Terça;2019-06-18;2019-06-20;NA;NA;Relações Políticas;Moderado;ALERTA 08426/19: (Moderado) Usuário relata caixa 2 no Banco Econômico;93;92;195537;92;31;NA;NA;NA;3;0
